ID,Age,Gender
1,Unknown,Female
2,19-30,Male
3,Unknown,Female
4,Unknown,Female
5,19-30,Female
6,19-30,Female
7,31-80,Female
8,Unknown,Female
9,Unknown,Female
10,19-30,Female
11,19-30,Female
12,Unknown,Female
13,19-30,Female
14,Unknown,Female
15,19-30,Female
16,31-80,Female
17,19-30,Female
18,19-30,Female
19,31-80,Male
20,19-30,Female
21,31-80,Female
22,31-80,Male
23,19-30,Female
24,31-80,Male
25,31-80,Male
26,Unknown,Female
27,19-30,Female
28,19-30,Female
29,19-30,Female
30,31-80,Female
31,19-30,Female
32,19-30,Female
33,31-80,Male
34,19-30,Female
35,19-30,Female
